Large Colleges and Universities  (>15K undergraduates)
 Rank,"",# of Undergraduate Alumni Volunteers
1 ,University of Washington ,72
2 ,University of Wisconsin-Madison ,68
3 ,University of Minnesota ,59
3 ,University of Florida ,59
5 ,University of Colorado Boulder ,53
6 ,University of Michigan ,48
7 ,Indiana University Bloomington ,47
8 ,Colorado State University ,43
8 ,"University of California, Santa Barbara ",43
10 ,The Ohio State University ,42
11 ,University of Maryland ,41
12 ,University of North Carolina at Chapel Hill ,39
13 ,"University of California, Berkeley ",37
  Rank,"","",# of Undergraduate Alumni Volunteers
14 ,"University of California, Davis  ","",36
14 ,"University of California, S an Diego ","",36
16 ,University of Illinois at Urbana-Cha mpaign ,"",35
16 ,University of South Florida ,"",35
16 ,"University of California, Los Angeles ","",35
16 ,University of Oregon ,"",35
16 ,James Madison University ,"",35
21 ,California Polytechnic State U niversity  ,"",34
22 ,Arizona State University  ,"",33
22 ,Michigan State University  ,"",33
24 ,San Diego State University ,"",32
24 ,"University of California, Sa nta Cruz ","",32
  (5K–15K undergraduates)
Rank,"",# of Undergraduate Alumni Volunteers
1 ,The George Washington University ,43
2 ,American University ,42
3 ,Western Washington University ,41
4 ,Cornell University ,38
5 ,University of Virginia ,36
6 ,University of Vermont  ,31
7 ,Georgetown University ,29
8 ,Emory University ,27
9 ,Humboldt State University ,25
10 ,University of Montana ,24
10 ,The College of William & Mary  ,24
12 ,Tulane University ,19
13 ,University of New Hampshire ,18
14 ,Montana State University  ,16
  Rank,"",# of Undergraduate Alumni Volunteers
14 ,University of Wisconsin-Stevens Point  ,16
14 ,Howard University ,16
14 ,University of San Diego ,16
18 ,Fordham University ,15
18 ,SUNY Geneseo  ,15
20 ,University of Hawai'i at Mānoa ,14
20 ,University of Minnesota Duluth ,14
20 ,University of Wisconsin-La Crosse ,14
20 ,Boston College ,14
20 ,Johns Hopkins University ,14
25 ,University of Rhode Island ,13
25 ,University of North Carolina Wilmington ,13
25 ,University of Miami ,13
25 ,University of Chicago  ,13
Small Colleges and Universities  (<5K undergraduates)
Rank,"",# of Undergraduate Alumni Volunteers
1 ,Gonzaga University ,18
1 ,University of Puget Sound ,18
3 ,Macalester College ,17
4 ,The Evergreen State Colleg e ,13
4 ,Carleton College ,13
6 ,Middlebury College ,12
6 ,Willamette University  ,12
8 ,University of Mary Washington ,11
8 ,Dickinson College ,11
8 ,Simmons College ,11
11 ,University of North Carolina at Asheville ,10
11 ,Gettysburg College ,10
11 ,Saint Michael's College ,10
14 ,Bucknell University ,9
14 ,University of Richmond ,9
14 ,Oberlin College ,9
14 ,St. Lawrence University ,9
  Rank,"",# of Undergraduate Alumni Volunteers
14 ,Denison University ,9
14 ,Allegheny College ,9
14 ,Bowdoin College ,9
14 ,Kalamazoo College ,9
14 ,Knox College ,9
23 ,Wake Forest University ,8
23 ,Drake University ,8
23 ,Seattle Pacific University ,8
23 ,Smith College ,8
23 ,Stonehill College ,8
23 ,Whitworth University  ,8
23 ,Wellesley College ,8
23 ,Clark University ,8
23 ,Lewis & Clark College  ,8
23 ,The College of Wooster ,8
23 ,Grinnell College ,8
rad Schools
Rank,"", # of Graduate Alumni Volunteers
1 ,Tulane University ,18
2 ,University of Michigan ,17
2 ,University of Denver ,17
4 ,University of Washington ,16
5 ,American University ,15
 Rank,"",# of Undergraduate Alumni Volunteers
1 ,"University of California, Berkeley "," 3,615"
2 ,University of Wisconsin-Madison ,"3,184"
3 ,University of Washington ,"2,937"
4 ,University of Michigan ,"2,640"
5 ,University of Colorado Boulder ,"2,435"
